targetSpeed,actualSpeeds,actualTimes,speedFrac
-0.0817504;0.108929;-0.240079;0.102756;0.081447;-0.00795241,-0.0764192;0.101998;-0.224734;0.0952475;0.0759943;-0.00740966,0.404732,1
-0.0844479;0.112427;-0.247826;0.106603;0.0842141;-0.00822843,-0.0790737;0.105453;-0.232381;0.0989713;0.0787067;-0.00767945,0.412732,1
-0.0871657;0.115943;-0.255618;0.11051;0.0870078;-0.00850749,-0.0817504;0.108929;-0.240079;0.102756;0.081447;-0.00795241,0.420734,1
-0.089901;0.119475;-0.263448;0.114476;0.0898253;-0.00878935,-0.0844478;0.112427;-0.247825;0.106602;0.0842141;-0.00822842,0.428734,1
-0.0926532;0.123022;-0.271312;0.118501;0.0926662;-0.00907399,-0.0871648;0.115942;-0.255616;0.110509;0.0870069;-0.00850741,0.436734,1
-0.0954212;0.126581;-0.279209;0.122584;0.0955296;-0.00936131,-0.089901;0.119475;-0.263447;0.114476;0.0898253;-0.00878935,0.444734,1
-0.0982037;0.130152;-0.287132;0.126726;0.0984144;-0.00965123,-0.0926532;0.123022;-0.271312;0.118501;0.0926662;-0.00907399,0.452734,1
-0.100999;0.133731;-0.295078;0.130924;0.101319;-0.00994364,-0.0954212;0.126581;-0.279208;0.122584;0.0955296;-0.00936131,0.460734,1
-0.103807;0.137316;-0.303043;0.13518;0.104244;-0.0102385,-0.0954212;0.126581;-0.279208;0.122584;0.0955296;-0.00936131,0.468734,1
-0.106625;0.140907;-0.311023;0.139491;0.107186;-0.0105356,-0.0982037;0.130152;-0.287132;0.126726;0.0984144;-0.00965123,0.476735,1
-0.109452;0.144501;-0.319013;0.143859;0.110145;-0.010835,-0.100999;0.133731;-0.295078;0.130924;0.101319;-0.00994364,0.484735,1
-0.112288;0.148097;-0.32701;0.148281;0.11312;-0.0111364,-0.106625;0.140907;-0.311023;0.139491;0.107186;-0.0105356,0.492735,1
-0.11513;0.151691;-0.335008;0.152758;0.11611;-0.01144,-0.109452;0.144501;-0.319013;0.143859;0.110145;-0.010835,0.500735,1
-0.117978;0.155283;-0.343005;0.157288;0.119114;-0.0117454,-0.112288;0.148097;-0.327009;0.148281;0.11312;-0.0111364,0.508735,1
-0.12083;0.15887;-0.350996;0.161872;0.12213;-0.0120527,-0.11513;0.151691;-0.335008;0.152758;0.11611;-0.01144,0.516735,1
-0.123685;0.162451;-0.358977;0.166509;0.125157;-0.0123618,-0.117978;0.155283;-0.343005;0.157288;0.119113;-0.0117454,0.524735,1
-0.126541;0.166023;-0.366943;0.171197;0.128196;-0.0126725,-0.12083;0.15887;-0.350996;0.161872;0.12213;-0.0120527,0.532735,1
-0.129399;0.169585;-0.374891;0.175938;0.131243;-0.0129848,-0.123685;0.162451;-0.358977;0.166509;0.125157;-0.0123618,0.540735,1
-0.132255;0.173134;-0.382816;0.180729;0.134299;-0.0132985,-0.126541;0.166023;-0.366943;0.171197;0.128196;-0.0126725,0.548735,1
-0.13511;0.176672;-0.39072;0.185574;0.137363;-0.0136138,-0.126541;0.166023;-0.366943;0.171197;0.128196;-0.0126725,0.55674,1
-0.137961;0.180191;-0.398587;0.190465;0.140432;-0.0139302,-0.129399;0.169585;-0.374891;0.175938;0.131243;-0.0129848,0.56474,1
